Name,Specialities,Locations,Areas of Focus
"Daniel A. Adamo, M.D.",,"Rochester, MN",Kidney biopsy
N/A,,,
"Christopher (Chris) M. Adams, M.D., Ph.D.",Endocrinologist,"Rochester, MN",Diabetes
N/A,,,
N/A,,,
"Roberta H. Adams, M.D.","Pediatric Hematologist / Oncologist, Pediatrician","Phoenix, AZ",Bone marrow transplant
N/A,,,
N/A,,,
N/A,,,
"Jill Adamski, M.D., Ph.D.",Pathologist,"Phoenix, AZ",Apheresis
N/A,,,
N/A,,,
"Demilade A. Adedinsewo, M.B., Ch.B.",,"Jacksonville, FL",
N/A,,,
"Charles H. Adler, M.D., Ph.D.","Sports Medicine Specialist, Neurologist","Phoenix, AZ","Botox injection, Restless legs syndrome, Dystonia, Movement disorder, Essential tremor, Parkinson's disease"
N/A,,,
N/A,,,
N/A,,,
"Paula A. Aduen, Ph.D., L.P.",Neuropsychologist,"Jacksonville, FL","Neuropsychological assessment, Memory loss, Mild cognitive impairment, Dementia, Cognitive disorder"
N/A,,,
N/A,,,
"Jayanth (Jay) Adusumalli, M.B.B.S., M.P.H.","Internist, Public Health and General Preventive Medicine Specialist","Rochester, MN","Hyperbaric oxygen therapy, Integrative medicine"
N/A,,,
N/A,,,
N/A,,,
"Pooja Advani, M.B.B.S., M.D.","Hematologist, Oncologist","Jacksonville, FL",Breast cancer
N/A,,,
N/A,,,
N/A,,,
"Devon O. Aganga, M.D.","Pediatric Critical Care Specialist, Anesthesiologist, Pediatrician","Rochester, MN","Neonatal and pediatric heart surgery, Surgical procedure, Transplant, General anesthesia administration"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Amit K. Agarwal, M.B.B.S., M.D.",,"Jacksonville, FL",
N/A,,,
"Ali Agely, M.D.",Radiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"David Agerter, M.D.",Family Physician,"Rochester, MN","Attention-deficit/hyperactivity disorder in children, Sports injury"
N/A,,,
N/A,,,
"Nessa Aghazadeh Mohandesi, M.D.","Dermatologist, Pediatric Dermatologist","Rochester, MN","Birthmarks, Ichthyosis, Hidradenitis suppurativa, Gorlin syndrome, Epidermolysis bullosa, Hair disease, Genetic disorde...r, Nail disease, Atopic dermatitis, Vulvar skin disorder, Psoriasis"
N/A,,,
N/A,,,
N/A,,,
"Neera Agrwal, M.D., Ph.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"J. Eric Ahlskog, M.D., Ph.D.",Neurologist,"Rochester, MN",Movement disorder
N/A,,,
N/A,,,
"Sumera R. Ahmad, M.B.B.S.","Critical Care Specialist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Safia K. Ahmed, M.D.",,"Phoenix, AZ","Radiation therapy, Stereotactic radiosurgery, Proton therapy, Intraoperative radiation therapy, Brachytherapy, Intensit...y-modulated radiation therapy, Pediatric central nervous system tumor, Breast cancer, Soft tissue sarcoma"
N/A,,,
"Daniel H. Ahn, D.O.","Internist, Oncologist","Phoenix, AZ","Stomach cancer, Pancreatic cancer, Colon cancer, Esophageal cancer, Neuroendocrine tumor, Cholangiocarcinoma"
N/A,,,
N/A,,,
N/A,,,
"Edward S. Ahn, M.D.",Pediatric Neurosurgeon,"Rochester, MN","Fetal surgery, Pediatric cervical spine surgery, Endoscopic procedure, Craniotomy, Spina bifida, Arteriovenous malforma...tion, Craniosynostosis, Myelopathy, Chiari malformation, Moyamoya disease, Hydrocephalus"
N/A,,,
N/A,,,
"Ji Hyun Ahn, D.D.S.",Orthodontist,"Rochester, MN","Orthodontic procedure, Orthodontic exam for children, Dentofacial anomaly, Malocclusion"
N/A,,,
N/A,,,
"Sikander Ailawadhi, M.D.",Oncologist,"Jacksonville, FL","Plasma cell disorders, Macroglobulinemia, Chronic myelogenous leukemia, Multiple myeloma, Leukemia, Waldenstrom macrogl...obulinemia, Chronic lymphocytic leukemia"
N/A,,,
N/A,,,
"Alessandra (Ali) J. Ainsworth, M.D.",Reproductive Endocrinologist,"Rochester, MN","Hysteroscopy, Ovulation induction, Fertility preservation, Egg freezing, Gestational surrogacy, Egg retrieval, Genetic ...counseling, Hysterosalpingography, Intrauterine device method, Sperm freezing, Saline infusion sonography, Egg donation, Embryo transfer, Sperm collection for fertility treatment, Superovulation, In vitro fertilization, Intrauterine insemination, Deferred reproduction, 3D ultrasound, Intracytoplasmic sperm injection, Sperm donation, Polypectomy, Recurrent miscarriage, Double uterus, Balanced translocations, Primary ovarian insufficiency, Uterine polyps, Diminished ovarian reserve, Hypothyroidism, Irregular menstrual cycle, Hyperprolactinemia, Polycystic ovary syndrome, Infertility, Amenorrhea, Advanced maternal age, Menstrual cycle conditions"
N/A,,,
N/A,,,
"Nila J. Akhtar, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Allen J. Aksamit, Jr., M.D.",Neurologist,"Rochester, MN","Neurosarcoidosis, Progressive multifocal leukoencephalopathy, Prion disorders, Infectious disease"
N/A,,,
N/A,,,
"Timothy R. Aksamit, M.D.","Critical Care Specialist, Internist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Ibrahim A. Aksoy, M.D., Ph.D.",Physiatrist,"Phoenix, AZ","Gait unsteadiness, Hip tendinitis, Shoulder impingement syndrome, Rotator cuff tear, Spinal stenosis, Hip arthritis, Ne...ck pain, Frozen shoulder, Back pain, Knee arthritis, Lumbar radiculopathy, Osteoarthritis, Cervical radiculopathy, Shoulder arthritis, Knee pain, Hip tendon tear"
N/A,,,
N/A,,,
"Jana G. Al Hashash, M.D., M.S.",Gastroenterologist,"Jacksonville, FL","Chromoendoscopy, Colonoscopy, Upper endoscopy, Crohn's disease, Ulcerative colitis, Gastrointestinal bleeding, Pouchitis"
N/A,,,
N/A,,,
"Alaa Al Nofal, M.D., M.B.A.",,"Rochester, MN","Puberty disorder, Short stature disorder, Hypothyroidism, Hyperthyroidism, Type 1 diabetes, Congenital adrenal hyperpla...sia, Type 2 diabetes in children, Type 1 diabetes in children"
N/A,,,
"Mina M. Al-Badri, M.B., Ch.B.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Ahmad H. Al-Huniti, M.D.",Pediatric Hematologist / Oncologist,"Rochester, MN","Lumbar puncture, Bone marrow biopsy and aspiration, Bone marrow failure syndromes, Pulmonary embolism, Factor XIII defi...ciency, Bleeding disorder, Hemoglobinopathies, Deep vein thrombosis, Factor V deficiency, Antiphospholipid syndrome, Stroke, von Willebrand disease, Hemophilia, Autoimmune hemolytic anemia, Immune thrombocytopenia, Thoracic outlet syndrome"
N/A,,,
N/A,,,
"Aref Al-Kali, M.D.","Hematologist, Oncologist","Rochester, MN","Myeloproliferative disorders, Large granular lymphocyte disorders, Chronic myelomonocytic leukemia, Myelodysplastic syn...dromes, Acute myelogenous leukemia"
N/A,,,
N/A,,,
N/A,,,
"Sami Alasfar, M.D., M.P.H.",Nephrologist,"Phoenix, AZ","Kidney failure, Transplant-associated infection, Kidney injury, Transplant disorder, Transplant rejection"
N/A,,,
N/A,,,
"Afsaneh Alavi, M.D.",Dermatologist,"Rochester, MN","Biopsy, Neutrophilic dermatoses, Pyoderma gangrenosum, Vasculitis, Hidradenitis suppurativa, Psoriasis"
N/A,,,
N/A,,,
"Sam T. Albadri, M.B., Ch.B.",Pathologist,"Jacksonville, FL",Fine needle aspiration
N/A,,,
N/A,,,
"Steven R. Alberts, M.D., M.P.H.",Oncologist,"Rochester, MN","Colon cancer, Anal cancer, Esophageal cancer, Stomach cancer, Cholangiocarcinoma, Liver cancer, Hepatocellular carcinom...a, Gallbladder cancer, Neuroendocrine tumor, Small bowel cancer, Pancreatic cancer, Rectal cancer"
N/A,,,
N/A,,,
"Robert C. Albright, Jr., D.O.","Nephrologist, Critical Care Specialist, Internist","Rochester, MN","Dialysis, End-stage renal disease, Chronic kidney disease, Acute kidney failure"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Michael Albus, M.D.",Emergency Medicine Physician,"Jacksonville, FL",
N/A,,,
N/A,,,
"Sally B. Alcott, M.D.",Physiatrist,"Phoenix, AZ","Hemiplegia, Cognitive disorder, Guillain Barre syndrome, Neuropathy, Gait disturbance, Arthritis, Neurogenic bladder dy...sfunction, Stroke, Spinal cord injury, Brain tumor, Normal pressure hydrocephalus, Neurogenic bowel dysfunction, Communication disorder, Compression fracture"
N/A,,,
N/A,,,
"Eva C. Alden, Ph.D., L.P.",,"Rochester, MN","Neuropsychological assessment, Dementia, Cognitive impairment, Brain tumor, Epilepsy"
N/A,,,
"Chelsea M. Ale, Ph.D., L.P.",,,"Cognitive behavioral therapy, Anxiety disorder, Chronic pain, Generalized anxiety disorder"
"Erin E. Alexander, D.O.",Pediatric Gastroenterologist,"Rochester, MN","Colonoscopy, Upper endoscopy, Failure to thrive, Diarrhea, Inflammatory bowel disease, Short bowel syndrome"
N/A,,,
N/A,,,
"Glenn L. Alexander, M.D.","Internist, Gastroenterologist","Rochester, MN",Gastrointestinal bleeding
N/A,,,
N/A,,,
N/A,,,
"Jeffrey A. Alexander, M.D.","Internist, Gastroenterologist","Rochester, MN","Eosinophilic esophagitis, Gastrointestinal bleeding"
N/A,,,
N/A,,,
N/A,,,
"Lauren F. Alexander, M.D.",,"Jacksonville, FL",
N/A,,,
"Mariam (Priya) P. Alexander, M.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Muhamad Alhaj Moustafa, M.D., M.S.","Oncologist, Hematologist","Jacksonville, FL","Chemotherapy, CAR t-cell therapy, Cellular therapy, Immunotherapy, Bone marrow biopsy and aspiration, Hairy cell leukem...ia, Non-Hodgkin's lymphoma, Follicular lymphoma, Hodgkin lymphoma, Cutaneous b-cell lymphoma, Diffuse large b-cell lymphoma, Lymphoma, Cutaneous t-cell lymphoma"
N/A,,,
N/A,,,
N/A,,,
"Farwa Ali, M.B.B.S.",Neurologist,"Rochester, MN","Botox injection, Electromyography"
N/A,,,
N/A,,,
"Rushna P. Ali, M.D.",Neurosurgeon,"Rochester, MN","Occipital nerve stimulation, Intrathecal baclofen pump implantation, Radiofrequency ablation, Dorsal root entry zone le...sioning, Ablation, Spinal cord stimulator insertion, Responsive neurostimulation therapy, Microvascular decompression surgery, Deep brain stimulation, Intrathecal pump implantation, Vagus nerve stimulation, Dorsal root ganglion stimulator implantation, Chronic pain, Neuralgia, Movement disorder, Neuropathic pain syndrome, Trigeminal neuralgia, Stroke, Cancer-related pain, Epilepsy"
N/A,,,
N/A,,,
"Hassan Alkhateeb, M.D.",Hematologist,"Rochester, MN","Autologous stem cell transplant, Allogeneic stem cell transplant, CAR t-cell therapy, Myeloproliferative disorders, Mye...lodysplastic syndromes, Acute lymphocytic leukemia, Graft versus host disease, Acute myelogenous leukemia"
N/A,,,
N/A,,,
"Mohamad Adnan (Mohamad) Alkhouli, M.D.",Interventional Cardiologist,"Rochester, MN","Balloon pulmonary angioplasty, Patent foramen ovale closure, Coronary angiogram, Tricuspid valve repair and replacement..., Atrial septostomy, Pulmonary vein stenting, Transcatheter aortic valve replacement, Right heart catheterization with exercise, Coronary physiology assessment, Pulmonary vein angioplasty, Alcohol septal ablation, Mitral valve repair and replacement, Left atrial appendage closure, Coronary angioplasty and stenting, Ventricular assist device implantation, Pulmonary artery catheter insertion, Tricuspid valve regurgitation, Tricuspid valve disease, Aortic valve stenosis, Coronary artery disease, Stroke, Atrial septal defect, Atrial fibrillation, Heart valve disease, Patent foramen ovale, Ventricular septal defect, Mitral valve regurgitation"
N/A,,,
N/A,,,
"Alina M. Allen, M.D.","Internist, Gastroenterologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Nicholas (Nick) D. Allen, M.D.",Psychiatrist,"Rochester, MN","Electroconvulsive therapy, Depression, Bipolar disorder, Anxiety disorder, Drug addiction, Generalized anxiety disorder..., Substance abuse, Psychotic disorder, Somatic symptom disorder, Neurocognitive disorder, Delirium, Personality disorder"
N/A,,,
N/A,,,
"Summer V. Allen, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Wesley L. Allen, M.D.",,"Jacksonville, FL","Transesophageal echocardiogram, Transplant"
N/A,,,
"Wendy A. Allen-Rhoades, M.D., Ph.D.",Pediatric Hematologist / Oncologist,"Rochester, MN","Bone marrow biopsy and aspiration, Lumbar puncture, Wilms' tumor, Rhabdomyosarcoma, Neuroblastoma, Sarcoma, Soft tissue... sarcoma, Ewing sarcoma, Osteosarcoma"
N/A,,,
N/A,,,
"Thomas G. Allison, Ph.D., M.P.H.",,"Rochester, MN","Cardiac rehabilitation, Cardiovascular disease prevention, Lipid management, Exercise stress test"
N/A,,,
"Said Alsidawi, M.D.",,"Phoenix, AZ",
N/A,,,
"Paul Altrichter, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Francisco Alvarez, M.D.","Critical Care Specialist, Transplant Pulmonologist","Jacksonville, FL","Post-transplant long-term care, Pre-transplant evaluation, Lung transplant, Bronchoscopy, Pulmonary valve disease, Hepa...topulmonary syndrome, Pulmonary fibrosis, COPD, Interstitial lung disease, Cystic fibrosis, Advanced lung disease, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
"Salvador Alvarez, M.D.","Internist, Infectious Disease Specialist","Jacksonville, FL","Transplant, Tuberculosis, Infection, General infectious diseases"
N/A,,,
N/A,,,
N/A,,,
"Sadeer J. Alzubaidi, M.D.",,"Phoenix, AZ","Lymphangiography of thoracic duct, Transjugular intrahepatic portosystemic shunt, Microwave ablation for cancer, Radiof...requency ablation for cancer, Cryoablation for cancer, Chemoembolization, Transarterial radioembolization , Biliary obstruction, Kidney cancer, Lung cancer, Pulmonary embolism, Liver cancer"
N/A,,,
"Peter C. Amadio, M.D.","Orthopedic Surgeon, Hand Surgeon","Rochester, MN","Flexor tendon repair surgery, Hand reconstruction, Tendon transfer, Hand surgery, Nerve decompression, Hand arthritis, ...Hand injury, Nerve entrapment, Carpal tunnel syndrome, Tendinopathy, Cubital tunnel syndrome"
N/A,,,
N/A,,,
N/A,,,
"Rebecca K. Ameduri, M.D.",Pediatric Cardiologist,"Rochester, MN","Cardiac catheterization, Myocardial biopsy, Echocardiogram, Cardiomyopathy, Congenital heart defects in neonates and in...fants, Transplant coronary artery disease, Transplant rejection, Congenital heart defects in children, Heart transplant complication, Congenital heart disease"
N/A,,,
N/A,,,
"Nusheen Ameenuddin, M.D., M.P.H.",Pediatrician,"Rochester, MN",
N/A,,,
N/A,,,
"Hatem Amer, M.D.","Nephrologist, Internist","Rochester, MN","Pancreas transplant, Kidney transplant, Kidney failure"
N/A,,,
N/A,,,
N/A,,,
"Gretchen E. Ames, Ph.D.",Psychologist,"Jacksonville, FL",Obesity
N/A,,,
N/A,,,
"Steven C. Ames, Ph.D.",Psychologist,"Jacksonville, FL","Mood disorder, Anxiety disorder, Generalized anxiety disorder"
N/A,,,
N/A,,,
"Shreyasee Amin, M.D., M.D., C.M., M.P.H.","Internist, Rheumatologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Dana E. Amiraian, M.D.",Radiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Naser M. Ammash, M.D.","Echocardiographer, Cardiologist","Rochester, MN","Echocardiogram, Heart disease in pregnancy, Marfan syndrome, Atrial fibrillation, Congenital heart defects in adults, B...icuspid aortic valve, Loeys-Dietz syndrome, Patent foramen ovale, Congenital heart disease"
N/A,,,
N/A,,,
N/A,,,
"Neil M. Ampel, M.D.","Internist, Infectious Disease Specialist","Phoenix, AZ","Valley fever, HIV/AIDS, General infectious diseases"
N/A,,,
N/A,,,
N/A,,,
"Kimberly K. Amrami, M.D.",Radiologist,"Rochester, MN",MRI
N/A,,,
N/A,,,
"Adam W. Amundson, M.D.",,"Rochester, MN",
N/A,,,
"Aman Anand, Ph.D.",Radiation Oncology Medical Physicist,"Phoenix, AZ","Radiation therapy, Proton therapy"
N/A,,,
N/A,,,
"Vidhu Anand, M.B.B.S.","Echocardiographer, Cardiologist","Rochester, MN","Intraoperative echocardiography, Transesophageal echocardiogram, Echocardiogram, Aortic valve disease, Apical hypertrop...hic cardiomyopathy, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
"Matthew B. Anastasi, M.D.",Sports Medicine Specialist,"Phoenix, AZ","Fracture treatment, Joint injection, Hip tendinitis, Knee pain, Concussion, Ankle instability, Shoulder instability, Os...teoarthritis"
N/A,,,
N/A,,,
"Nandan S. Anavekar, M.B., B.Ch.",Cardiologist,"Rochester, MN","Intensive care, Imaging procedure, Echocardiogram, Nuclear stress test, Thoracic aortic aneurysm, Pericarditis, Pericar...dial effusion"
N/A,,,
N/A,,,
"Carl A. Andersen, M.D.",Internist,"Rochester, MN",Integrative medicine
N/A,,,
N/A,,,
"Lezlie H. Andersen, M.D.","Hospice and Palliative Medicine Pediatrician, Pediatric Hospitalist","Rochester, MN","Pain management, Palliative care"
N/A,,,
N/A,,,
N/A,,,
"Adam S. Anderson, Ph.D., L.P.",Psychologist,"Rochester, MN","Cognitive behavioral therapy, Psychotherapy, Psychological assessment, Psychosis, Depression, Anxiety disorder, Post tr...aumatic stress disorder, Bipolar disorder, Borderline personality disorder, Schizophrenia, Schizoaffective disorder"
N/A,,,
N/A,,,
"Alexandra L. Anderson, M.D.",,"Rochester, MN",
N/A,,,
"Gregory J. Anderson, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Jana L. Anderson, M.D.",Emergency Pediatrician,"Rochester, MN",Sedation
N/A,,,
N/A,,,
"Jason H. Anderson, M.D.","Interventional Cardiologist, Echocardiographer, Pediatric Cardiologist","Rochester, MN","Congenital heart defects in children, Congenital heart defects in adults, Patent ductus arteriosus, Coarctation of the ...aorta, Congenital heart defects in neonates and infants, Cardiomyopathy, Atrial septal defect, Ventricular septal defect, Hypoplastic left heart syndrome, Patent foramen ovale"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Karen Anderson, M.D., Ph.D.",,"Phoenix, AZ","Breast cancer, Ovarian cancer, Pancreatic cancer, HPV infection"
N/A,,,
"Katelyn R. Anderson, M.D.","Dermatologist, Pediatrician","Rochester, MN","Skin biopsy, UV light therapy, Allergy skin test, Pulsed-dye laser therapy, Diffuse capillary malformation with overgro...wth, Telogen effluvium, Skin cancer, Vasculitis, Telangiectasia disorder, Vitiligo, Non-melanoma skin cancer, Pityriasis alba, Klippel-Trenaunay syndrome, Vulvar skin disorder, Blue rubber bleb nevus syndrome, Skin problems, Vascular malformation, Morphea, Hair loss, Dermatitis, Hemangioma, Burning mouth syndrome, Vascular anomaly, Canker sores, Melasma, Rosacea, Psoriasis, Vascular birthmarks, Breast skin change, Oral lichen planus, Melanoma, Pigmentation disorder, Scarring alopecia, Tinea versicolor, Alopecia areata, Lichen planus, Tuberous sclerosis, Atopic dermatitis, Acne"
N/A,,,
N/A,,,
N/A,,,
"Katherine (Katie) T. Anderson, M.D.",Urologist,"Rochester, MN","Penile reconstruction, Urethral reconstruction, Artificial urinary sphincter implantation, Bladder Botox injection, Uro...dynamic testing, Bladder augmentation, Urethroplasty, Ureteral reconstruction, Urinary diversion, Urethral stricture, Ureteral obstruction"
N/A,,,
N/A,,,
"Tara L. Anderson, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Therese F. Anderson, M.D.",,"Jacksonville, FL",
N/A,,,
"Jack R. Andrews, M.D.","Urologist, Oncologist","Phoenix, AZ","Lymphadenectomy, Transperineal prostate biopsy, Salvage therapy, Robotic prostatectomy, Nephrectomy, Radical prostatect...omy, Bladder cancer, Prostate cancer, Penile cancer, Kidney cancer, Stage 4 prostate cancer, Recurrent cancer"
N/A,,,
N/A,,,
N/A,,,
"James C. Andrews, M.D.",Radiologist,"Rochester, MN","Transjugular intrahepatic portosystemic shunt, Chemoembolization, Venous sampling catheter procedure, Radioembolization..., Benign adrenal tumor, Portal hypertension, Biliary obstruction, Gastrointestinal bleeding, Liver cancer"
N/A,,,
N/A,,,
"Karen L. Andrews, M.D.",Physiatrist,"Rochester, MN","Outpatient clinical consultation, Transcutaneous oximetry, Infection control, Enhanced recovery after surgery, Cardiac ...rehabilitation, Infection prevention, Rehabilitation therapy, Ultrasound wound therapy, Amputation rehabilitation, Amputation, Amputation wrapping, Wound care, Wound ulcer healing, Inpatient rehabilitation , Compression bandaging, Pneumatic compression, Diabetic neuropathy, Neuropathy, Vascular ulcer, Wound, Diabetic foot ulcer, Peripheral artery disease, Critical limb ischemia, Limb loss, Vascular skin ulcer"
N/A,,,
N/A,,,
"Paul E. Andrews, M.D.",Urologist,"Phoenix, AZ","Radical prostatectomy, Donor nephrectomy, Nephrectomy, Robotic surgery, Laparoscopic surgery, Prostate cancer, Kidney c...ancer, Bladder cancer, Testicular cancer"
N/A,,,
N/A,,,
"Kurt B. Angstman, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Stephen Aniskevich, III, M.D.",Anesthesiologist,"Jacksonville, FL","Transesophageal echocardiogram, Transplant, General anesthesia administration"
N/A,,,
N/A,,,
"Stephen M. Ansell, M.D., Ph.D.","Internist, Hematologist, Oncologist","Rochester, MN","Hodgkin lymphoma, Non-Hodgkin's lymphoma"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Christopher (Kit) V. Anstine, M.D.",Internist,"Rochester, MN",Stress management
N/A,,,
N/A,,,
"John A. Antolak, Ph.D.",Radiation Oncology Medical Physicist,"Rochester, MN","IGRT, Brachytherapy"
N/A,,,
N/A,,,
"Evamaria Anvari, M.D.",,"Phoenix, AZ",
N/A,,,
"Bernard Aoun, M.D.","Internist, Geriatrician","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Bashar A. Aqel, M.D.","Transplant Hepatologist, Internist, Gastroenterologist","Phoenix, AZ","Endoscopic procedure, Liver transplant, Hepatocellular carcinoma, Nonalcoholic fatty liver disease, Hepatitis infectiou...s disease, Cholangiocarcinoma"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Cecilia Y. Arana Yi, M.D.",Hematologist / Oncologist,"Phoenix, AZ","Myelodysplastic syndromes, Leukemia, Systemic mastocytosis"
N/A,,,
N/A,,,
"Philip A. Araoz, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Karissa N. Arca, M.D.",Neurologist,"Phoenix, AZ","Autonomic reflex testing, Botox injection, Nerve block"
N/A,,,
N/A,,,
